Mix ID, Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (με) 7d,Drying shrinkage (με) 28d,Drying shrinkage (με) 90d,Drying shrinkage (με)120d,Creep (με) 28d,Creep (με) 90d,Creep (με) 150d,Abrasion (mm) 28 d,Reference
R24_W/B=0.4_65FA5SF,135,180,640,1034,293,23,0,1.26,23.97,-1,-1,-1,2080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_40FA10SF,225,180,640,1072,180,45,0,2.88,51.26,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_50FA10SF,180,180,640,1053,225,45,0,2.34,41.74,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_60FA10SF,135,180,640,1034,270,45,0,2.07,28.14,-1,-1,-1,1570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R25_5% SF,475,175,687,958,0,25,0,8,67.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.matdes.2013.03.106
R25_10% SF,450,175,685,954,0,50,0,9,69.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R25_15% SF,425,175,681,948,0,75,0,10,74.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R25_25% SF,375,175,673,938,125,0,0,7.5,51.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R25_40% SF,300,175,663,923,200,0,0,7.5,46.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R25_55% SF,225,175,652,908,275,0,0,7.5,35.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R26_SCC1,465,227.7,590,910,85,0,0,10.73,29.91,2.4,-1,-1,-1,662,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.matdes.2010.08.043
R26_SCC2,440,228.6,590,910,110,0,0,11.01,28.18,2.12,-1,-1,-1,649,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R26_SCC3,415,233.3,590,910,135,0,0,9.91,26.75,1.83,-1,-1,-1,594,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R26_SCC4,385,234.4,590,910,165,0,0,9.91,26.06,1.76,-1,-1,-1,634,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R26_SCC5,355,241.6,590,910,195,0,0,9.91,25.18,1.55,-1,-1,-1,610,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R27_M2,440,176,917,714,110,0,0,7.43,59.33,-1,-1,-1,-1,-1,-1,205,360,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.conbuildmat.2010.04.015
R27_M3,330,176,899,700,220,0,0,7.43,51.76,-1,-1,-1,-1,-1,-1,199,320,-1,-1,-1,-1,-1,-1,
R27_M4,220,176,881,686,330,0,0,6.67,40.37,-1,-1,-1,-1,-1,-1,189,320,-1,-1,-1,-1,-1,-1,
R27_M5,440,176,931,725,0,0,110,10.43,63.83,-1,-1,-1,-1,-1,-1,250,410,-1,-1,-1,-1,-1,-1,
R27_M6,330,176,928,722,0,0,220,10,68.08,-1,-1,-1,-1,-1,-1,250,385,-1,-1,-1,-1,-1,-1,
R27_M7,220,176,924,720,0,0,330,8.89,66.38,-1,-1,-1,-1,-1,-1,270,385,-1,-1,-1,-1,-1,-1,
R27_M8,522.5,176,930,724,0,27.5,0,9.56,68.34,-1,-1,-1,-1,-1,-1,248,401,-1,-1,-1,-1,-1,-1,
R27_M9,495,176,925,720,0,55,0,10.67,72.84,-1,-1,-1,-1,-1,-1,300,480,-1,-1,-1,-1,-1,-1,
R27_M10,467.5,176,920,716,0,82.5,0,12,71.74,-1,-1,-1,-1,-1,-1,302,500,-1,-1,-1,-1,-1,-1,
R27_M14,440,176,916,713,82.5,27.5,0,8.22,67.32,-1,-1,-1,-1,-1,-1,297,425,-1,-1,-1,-1,-1,-1,
R27_M15,330,176,898,699,165,55,0,9.11,57.12,-1,-1,-1,-1,-1,-1,300,428,-1,-1,-1,-1,-1,-1,
R27_M16,220,176,880,685,247.5,82.5,0,8.89,51,-1,-1,-1,-1,-1,-1,300,448,-1,-1,-1,-1,-1,-1,
R27_M20,440,176,927,721,0,27.5,82.5,9.78,67.66,-1,-1,-1,-1,-1,-1,275,410,-1,-1,-1,-1,-1,-1,
R27_M21,330,176,920,716,0,55,165,10.78,74.46,-1,-1,-1,-1,-1,-1,310,450,-1,-1,-1,-1,-1,-1,
R27_M22,220,176,912,710,0,82.5,247.5,10.22,71.82,-1,-1,-1,-1,-1,-1,230,375,-1,-1,-1,-1,-1,-1,
R27_M26,440,176,924,720,55,0,55,8,65.45,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1,-1,-1,-1,
R27_M27,330,176,913,711,110,0,110,7.5,52.95,-1,-1,-1,-1,-1,-1,-1,374,-1,-1,-1,-1,-1,-1,
